CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,NOISE1,NOISE2,NOISE3,NOISE4,NOISE5,NOISE6,NOISE7,NOISE8,MEDV
0.1415,0,6.91,0,0.448,6.169,6.6,5.7209,3,233,17.9,383.37,5.81,0.436425106,0.050377442,0.454471425,6.175827753,6.606145562,0.450468386,6.175807126,6.607303985,25.3
0.15936,0,6.91,0,0.448,6.211,6.5,5.7209,3,233,17.9,394.46,7.44,0.447015729,0.697296268,0.448470797,6.217803956,6.504054666,0.453470811,6.21391747,6.501587239,24.7
0.12269,0,6.91,0,0.448,6.069,40,5.7209,3,233,17.9,389.39,9.55,0.566635918,0.295060875,0.452724827,6.074491444,40.0017821,0.4550379,6.0782687,40.00739249,21.2
0.17142,0,6.91,0,0.448,5.682,33.8,5.1004,3,233,17.9,396.9,10.21,0.62131167,0.468703011,0.454738547,5.689480944,33.80287586,0.45137106,5.691014598,33.80093353,19.3
0.18836,0,6.91,0,0.448,5.786,33.3,5.1004,3,233,17.9,396.9,14.15,0.590169314,0.993114184,0.452941114,5.793941064,33.30517961,0.457880014,5.787573336,33.30838851,20
0.22927,0,6.91,0,0.448,6.03,85.5,5.6894,3,233,17.9,392.74,18.8,0.427668853,0.211582013,0.457766812,6.031115442,85.50205151,0.4547853,6.031651126,85.50973143,16.6
0.25387,0,6.91,0,0.448,5.399,95.3,5.87,3,233,17.9,396.9,30.81,0.053605528,0.446100329,0.452482345,5.407211651,95.3043787,0.45797988,5.399041896,95.30509723,14.4
0.21977,0,6.91,0,0.448,5.602,62,6.0877,3,233,17.9,396.9,16.2,0.672164778,0.213319354,0.457558624,5.602711648,62.00856222,0.456897384,5.608877617,62.00233908,19.4
0.08873,21,5.64,0,0.439,5.963,45.7,6.8147,4,243,16.8,395.56,13.45,0.498052168,0.351583613,0.445138038,5.96714798,45.70513608,0.445922028,5.967030868,45.7008355,19.7
0.04337,21,5.64,0,0.439,6.115,63,6.8147,4,243,16.8,393.97,9.43,0.736865749,0.391287679,0.440751538,6.116891642,63.00716058,0.448847106,6.120105402,63.00537738,20.5
0.0536,21,5.64,0,0.439,6.511,21.1,6.8147,4,243,16.8,396.9,5.28,0.327389889,0.954430184,0.443591508,6.519310001,21.10206025,0.442172359,6.517360037,21.10990779,25
0.04981,21,5.64,0,0.439,5.998,21.4,6.8147,4,243,16.8,396.9,8.43,0.427282217,0.567577049,0.445765452,6.007123818,21.40639865,0.439151118,6.007705111,21.40295458,23.4
0.0136,75,4,0,0.41,5.888,47.6,7.3197,3,469,21.1,396.9,14.8,0.947943775,0.844268851,0.411372056,5.895374048,47.60205351,0.416574926,5.890515028,47.60407973,18.9
0.01311,90,1.22,0,0.403,7.249,21.9,8.6966,5,226,17.9,395.93,4.81,0.750411944,0.094003513,0.410861876,7.252230502,21.90749778,0.410831479,7.256105212,21.90091224,35.4
0.02055,85,0.74,0,0.41,6.383,35.7,9.1876,2,313,17.3,396.9,5.77,0.986115268,0.500120868,0.416391489,6.388128776,35.70029064,0.413201816,6.39158588,35.7014958,24.7
0.01432,100,1.32,0,0.411,6.816,40.5,8.3248,5,256,15.1,392.9,3.95,0.81674307,0.259206699,0.41428253,6.821658143,40.50513215,0.415948677,6.816423184,40.5082408,31.6
0.15445,25,5.13,0,0.453,6.145,29.2,7.8148,8,284,19.7,390.68,6.86,0.089527478,0.489538006,0.453049649,6.148975372,29.20789228,0.456320002,6.153055966,29.20837254,23.3
0.10328,25,5.13,0,0.453,5.927,47.2,6.932,8,284,19.7,396.9,9.22,0.860938465,0.983879644,0.459214042,5.93022193,47.20841408,0.45391918,5.929146991,47.20301057,19.6
0.14932,25,5.13,0,0.453,5.741,66.2,7.2254,8,284,19.7,395.11,13.15,0.799764131,0.822933555,0.455007895,5.741956919,66.20468741,0.461089925,5.743132726,66.20769937,18.7
0.17171,25,5.13,0,0.453,5.966,93.4,6.8185,8,284,19.7,378.08,14.44,0.126395845,0.07165358,0.457342717,5.975487485,93.40846888,0.462309622,5.968824915,93.40398006,16
0.11027,25,5.13,0,0.453,6.456,67.8,7.2255,8,284,19.7,396.9,6.73,0.696976661,0.983216869,0.453518189,6.4648613,67.80731507,0.461639255,6.458738057,67.80875692,22.2
0.1265,25,5.13,0,0.453,6.762,43.4,7.9809,8,284,19.7,395.58,9.5,0.340222956,0.008688324,0.453052384,6.77155958,43.4027451,0.461095359,6.769987816,43.40337365,25
0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216,18.6,393.24,8.05,0.19530048,0.243418299,0.423337091,7.1065932,59.50044858,0.425460582,7.104147588,59.50131269,33
0.03584,80,3.37,0,0.398,6.29,17.8,6.6115,4,337,16.1,396.9,4.67,0.832270308,0.562750803,0.40748369,6.292775996,17.8088535,0.400752972,6.291935055,17.80936008,23.5
0.04379,80,3.37,0,0.398,5.787,31.1,6.6115,4,337,16.1,396.9,10.24,0.667768272,0.30445266,0.405000211,5.793504498,31.10044581,0.400198553,5.787207514,31.10560284,19.4
0.05789,12.5,6.07,0,0.409,5.878,21.4,6.498,4,345,18.9,396.21,8.1,0.494361545,0.155375021,0.417021788,5.887052512,21.40304437,0.417182332,5.879210469,21.40008804,22
0.13554,12.5,6.07,0,0.409,5.594,36.8,6.498,4,345,18.9,396.9,13.09,0.747865299,0.499984721,0.412587358,5.594813535,36.80671784,0.415144212,5.603651675,36.8078029,17.4
0.12816,12.5,6.07,0,0.409,5.885,33,6.498,4,345,18.9,396.9,8.79,0.658879924,0.657508683,0.418235103,5.889298815,33.00377194,0.41745576,5.890821661,33.00570795,20.9
0.08826,0,10.81,0,0.413,6.417,6.6,5.2873,4,305,19.2,383.73,6.72,0.205453183,0.056651583,0.414497755,6.421950812,6.60094869,0.415104587,6.425947718,6.605700027,24.2
0.15876,0,10.81,0,0.413,5.961,17.5,5.2873,4,305,19.2,376.94,9.88,0.453936706,0.532606521,0.419339598,5.96891925,17.5029002,0.422860925,5.966014943,17.50908914,21.7
0.09164,0,10.81,0,0.413,6.065,7.8,5.2873,4,305,19.2,390.91,5.52,0.243149442,0.336611557,0.413451974,6.071816324,7.802222394,0.4142433,6.06811009,7.801276717,22.8
0.19539,0,10.81,0,0.413,6.245,6.2,5.2873,4,305,19.2,377.17,7.54,0.590298886,0.90071786,0.42011643,6.247613356,6.207571043,0.415431935,6.248354432,6.200047311,23.4
0.07896,0,12.83,0,0.437,6.273,6,4.2515,5,398,18.7,394.92,6.78,0.660940344,0.135190061,0.442011981,6.276137263,6.009719514,0.441533926,6.282355195,6.002458059,24.1
0.09512,0,12.83,0,0.437,6.286,45,4.5026,5,398,18.7,383.23,8.94,0.562590638,0.576813696,0.439384782,6.294553405,45.00572722,0.438943885,6.292234245,45.00740628,21.4
0.10153,0,12.83,0,0.437,6.279,74.5,4.0522,5,398,18.7,373.66,11.97,0.035571909,0.648781323,0.444494557,6.282122992,74.50497462,0.442933627,6.282259906,74.50478503,20
0.08707,0,12.83,0,0.437,6.14,45.8,4.0905,5,398,18.7,386.96,10.27,0.457245814,0.053614249,0.446358043,6.145139787,45.80778045,0.444997797,6.144361686,45.80076471,20.8
0.05646,0,12.83,0,0.437,6.232,53.7,5.0141,5,398,18.7,386.4,12.34,0.641529618,0.855949397,0.442363485,6.240028388,53.70822841,0.443283581,6.235431945,53.7040703,21.2
0.08387,0,12.83,0,0.437,5.874,36.6,4.5026,5,398,18.7,396.06,9.1,0.987524953,0.591210039,0.437078941,5.882906434,36.60618485,0.437007657,5.883142711,36.60664733,20.3
0.04113,25,4.86,0,0.426,6.727,33.5,5.4007,4,281,19,396.9,5.29,0.469527048,0.66049374,0.432525397,6.728443544,33.5016748,0.430963077,6.729469743,33.50704633,28
0.04462,25,4.86,0,0.426,6.619,70.4,5.4007,4,281,19,395.63,7.22,0.482000853,0.174357575,0.430270159,6.620673372,70.408843,0.426991281,6.626488176,70.40619101,23.9
0.03659,25,4.86,0,0.426,6.302,32.2,5.4007,4,281,19,396.9,6.72,0.680488076,0.429559448,0.428514122,6.306866346,32.20138269,0.430905398,6.303695762,32.2052322,24.8
0.03551,25,4.86,0,0.426,6.167,46.7,5.4007,4,281,19,390.64,7.51,0.038613733,0.446932923,0.428252025,6.175673578,46.7060513,0.431629453,6.16778546,46.70018517,22.9
0.05059,0,4.49,0,0.449,6.389,48,4.7794,3,247,18.5,396.9,9.62,0.642452063,0.615575195,0.45342119,6.396668812,48.00877219,0.449756514,6.391205062,48.00574299,23.9
0.05735,0,4.49,0,0.449,6.63,56.1,4.4377,3,247,18.5,392.3,6.53,0.907412251,0.089251988,0.449031173,6.634938232,56.10040125,0.449880381,6.635845958,56.10459855,26.6
0.05188,0,4.49,0,0.449,6.015,45.1,4.4272,3,247,18.5,395.99,12.86,0.951259515,0.997790551,0.451597248,6.019500862,45.10386045,0.449872623,6.019426344,45.10336255,22.5
0.07151,0,4.49,0,0.449,6.121,56.8,3.7476,3,247,18.5,395.15,8.44,0.740051617,0.773771754,0.458540974,6.126548964,56.80000174,0.457591576,6.12346186,56.80608022,22.2
0.0566,0,3.41,0,0.489,7.007,86.3,3.4217,2,270,17.8,396.9,5.5,0.050011538,0.173737618,0.497903135,7.014790346,86.30390167,0.489007144,7.01302561,86.30895852,23.6
0.05302,0,3.41,0,0.489,7.079,63.1,3.4145,2,270,17.8,396.06,5.7,0.370045494,0.169282039,0.490444621,7.079101459,63.10967265,0.490759055,7.083423715,63.1088685,28.7
0.04684,0,3.41,0,0.489,6.417,66.1,3.0923,2,270,17.8,392.18,8.81,0.712306364,0.478308619,0.491185104,6.424750701,66.10213793,0.495819124,6.425557844,66.10545591,22.6
0.03932,0,3.41,0,0.489,6.405,73.9,3.0921,2,270,17.8,393.55,8.2,0.013198746,0.003417715,0.495651334,6.409929809,73.90421839,0.490106012,6.410255742,73.90287086,22
0.04203,28,15.04,0,0.464,6.442,53.6,3.6659,4,270,18.2,395.01,8.16,0.056807692,0.103692858,0.47051454,6.450433602,53.60457885,0.468021,6.448219635,53.60065611,22.9
0.02875,28,15.04,0,0.464,6.211,28.9,3.6659,4,270,18.2,396.33,6.21,0.225962603,0.848922229,0.472301551,6.217199026,28.90856819,0.473382824,6.214017626,28.90568455,25
0.04294,28,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,396.9,10.59,0.613211061,0.277825412,0.464591015,6.250982669,77.30381814,0.469817956,6.255087277,77.3003354,20.6
0.12204,0,2.89,0,0.445,6.625,57.8,3.4952,2,276,18,357.98,6.65,0.672494997,0.437982854,0.447393184,6.626429378,57.80907261,0.452902141,6.632314955,57.80477008,28.4
0.11504,0,2.89,0,0.445,6.163,69.6,3.4952,2,276,18,391.83,11.34,0.664565163,0.617776809,0.451915762,6.165253472,69.60733053,0.453582495,6.171785964,69.60213437,21.4
0.12083,0,2.89,0,0.445,8.069,76,3.4952,2,276,18,396.9,4.21,0.793029752,0.099111704,0.445846553,8.075337455,76.00846577,0.454955561,8.074239791,76.00018062,38.7
0.08187,0,2.89,0,0.445,7.82,36.9,3.4952,2,276,18,393.53,3.57,0.010608051,0.611225097,0.450737445,7.826926888,36.90617556,0.445441571,7.822447223,36.90892398,43.8
0.0686,0,2.89,0,0.445,7.416,62.5,3.4952,2,276,18,396.9,6.19,0.707136843,0.67493743,0.451885505,7.423264618,62.50690618,0.454444131,7.424246777,62.50365466,33.2
0.14866,0,8.56,0,0.52,6.727,79.9,2.7778,5,384,20.9,394.76,9.42,0.58768599,0.484236736,0.529891537,6.735601872,79.90298362,0.526772245,6.731328789,79.90660001,27.5
0.11432,0,8.56,0,0.52,6.781,71.3,2.8561,5,384,20.9,395.58,7.67,0.190076654,0.065267891,0.522088411,6.783234861,71.30581148,0.528413069,6.790585307,71.30367842,26.5
0.22876,0,8.56,0,0.52,6.405,85.4,2.7147,5,384,20.9,70.8,10.63,0.4870167,0.895391022,0.527813312,6.41355451,85.40929136,0.524354218,6.407886317,85.40081758,18.6
0.21161,0,8.56,0,0.52,6.137,87.4,2.7147,5,384,20.9,394.47,13.44,0.019284677,0.18047975,0.521134316,6.13934399,87.40329541,0.529438355,6.137277634,87.4039873,19.3
0.12802,0,8.56,0,0.52,6.474,97.1,2.4329,5,384,20.9,395.24,12.27,0.000906922,0.342680541,0.525774038,6.474240384,97.10544532,0.522914209,6.47779931,97.10087326,19.8
0.26363,0,8.56,0,0.52,6.229,91.2,2.5451,5,384,20.9,391.23,15.55,0.215585482,0.13259301,0.528926894,6.233565973,91.20435076,0.529540496,6.235455958,91.20312156,19.4
0.10793,0,8.56,0,0.52,6.195,54.4,2.7778,5,384,20.9,393.49,13,0.256507276,0.296570654,0.523718067,6.197800303,54.40440273,0.52539171,6.200354271,54.40437729,21.7
0.10084,0,10.01,0,0.547,6.715,81.6,2.6775,6,432,17.8,395.59,10.16,0.066393992,0.067546129,0.555552929,6.724115682,81.60086162,0.551284591,6.71519447,81.60012472,22.8
0.12329,0,10.01,0,0.547,5.913,92.9,2.3534,6,432,17.8,394.95,16.21,0.295884211,0.71266928,0.550437147,5.917162241,92.90664747,0.554088167,5.921750388,92.90398654,18.8
0.22212,0,10.01,0,0.547,6.092,95.4,2.548,6,432,17.8,396.9,17.09,0.710921659,0.148787763,0.551628349,6.096600931,95.40450592,0.554721804,6.099384031,95.40395291,18.7
0.14231,0,10.01,0,0.547,6.254,84.2,2.2565,6,432,17.8,388.74,10.45,0.377899839,0.177466329,0.556360553,6.25615201,84.20181287,0.548073412,6.260396179,84.20978225,18.5
0.17134,0,10.01,0,0.547,5.928,88.2,2.4631,6,432,17.8,344.91,15.76,0.058741547,0.406165984,0.549537189,5.937737298,88.20301655,0.550855117,5.93704126,88.20844449,18.3
0.13158,0,10.01,0,0.547,6.176,72.5,2.7301,6,432,17.8,393.3,12.04,0.357636446,0.423825004,0.549019597,6.179689545,72.50240276,0.548866883,6.17976285,72.50347915,21.2
0.15098,0,10.01,0,0.547,6.021,82.6,2.7474,6,432,17.8,394.51,10.3,0.591551591,0.046370073,0.549296475,6.028498179,82.60171911,0.554789959,6.023848263,82.6016426,19.2
0.13058,0,10.01,0,0.547,5.872,73.1,2.4775,6,432,17.8,338.63,15.37,0.987603921,0.804345429,0.54931942,5.873007976,73.10752957,0.547084436,5.87895475,73.10948599,20.4
0.14476,0,10.01,0,0.547,5.731,65.2,2.7592,6,432,17.8,391.5,13.61,0.733142774,0.693672664,0.549423908,5.739086276,65.20994991,0.556394881,5.732047242,65.20304438,19.3
0.06899,0,25.65,0,0.581,5.87,69.7,2.2577,2,188,19.1,389.15,14.37,0.766064819,0.244575132,0.585254856,5.877431875,69.70879865,0.58559434,5.874766864,69.70084914,22
0.07165,0,25.65,0,0.581,6.004,84.1,2.1974,2,188,19.1,377.67,14.27,0.630776023,0.105484938,0.588513659,6.004477303,84.10719736,0.583260113,6.012417037,84.10100387,20.3
0.09299,0,25.65,0,0.581,5.961,92.9,2.0869,2,188,19.1,378.09,17.93,0.316107762,0.593849065,0.588787983,5.961636278,92.90707417,0.586088737,5.964619497,92.90006506,20.5
0.15038,0,25.65,0,0.581,5.856,97,1.9444,2,188,19.1,370.31,25.41,0.552668421,0.573476466,0.581925265,5.860782247,97.00308358,0.584470891,5.863380398,97.00984757,17.3
0.09849,0,25.65,0,0.581,5.879,95.8,2.0063,2,188,19.1,379.38,17.58,0.674277571,0.649425084,0.588899573,5.88113281,95.80145947,0.586219526,5.884716197,95.80933603,18.8
0.16902,0,25.65,0,0.581,5.986,88.4,1.9929,2,188,19.1,385.02,14.81,0.953026112,0.491497718,0.581902099,5.98895472,88.40749673,0.582455611,5.992939723,88.40038686,21.4
0.38735,0,25.65,0,0.581,5.613,95.6,1.7572,2,188,19.1,359.29,27.26,0.483401555,0.200087164,0.586557949,5.619873549,95.60091831,0.582019218,5.620721258,95.60662932,15.7
0.25915,0,21.89,0,0.624,5.693,96,1.7883,4,437,21.2,392.11,17.19,0.260429126,0.199121449,0.628721815,5.701521745,96.0043542,0.632597203,5.693589345,96.00859154,16.2
0.32543,0,21.89,0,0.624,6.431,98.8,1.8125,4,437,21.2,396.9,15.39,0.514773211,0.27784928,0.624420152,6.431907832,98.80738125,0.626825116,6.432570884,98.80541415,18
0.88125,0,21.89,0,0.624,5.637,94.7,1.9799,4,437,21.2,396.9,18.34,0.371885815,0.493123017,0.626231752,5.637524847,94.70417917,0.631489311,5.637248224,94.70283425,14.3
0.34006,0,21.89,0,0.624,6.458,98.9,2.1185,4,437,21.2,395.04,12.6,0.659417943,0.876324137,0.62690394,6.467531089,98.90595994,0.630059418,6.46163359,98.90649295,19.2
1.19294,0,21.89,0,0.624,6.326,97.7,2.271,4,437,21.2,396.9,12.26,0.974741155,0.316499879,0.633709963,6.326700545,97.70228216,0.632021604,6.327777321,97.70634035,19.6
0.59005,0,21.89,0,0.624,6.372,97.9,2.3274,4,437,21.2,385.76,11.12,0.678303178,0.389148666,0.632663659,6.37621131,97.90541534,0.627948506,6.373099844,97.90937474,23
0.32982,0,21.89,0,0.624,5.822,95.4,2.4699,4,437,21.2,388.69,15.03,0.058468862,0.351651668,0.63090347,5.826230642,95.40305329,0.631803564,5.825300374,95.40723151,18.4
0.97617,0,21.89,0,0.624,5.757,98.4,2.346,4,437,21.2,262.76,17.31,0.315506158,0.942278898,0.62519428,5.76698328,98.40876447,0.630485693,5.760474939,98.40552474,15.6
0.55778,0,21.89,0,0.624,6.335,98.2,2.1107,4,437,21.2,394.67,16.96,0.3096712,0.218603197,0.633267718,6.339149344,98.20357633,0.626640424,6.339956714,98.20231387,18.1
0.32264,0,21.89,0,0.624,5.942,93.5,1.9669,4,437,21.2,378.25,16.9,0.369094326,0.629878813,0.632837717,5.944638181,93.50895984,0.628428016,5.945547207,93.5056219,17.4
0.35233,0,21.89,0,0.624,6.454,98.4,1.8498,4,437,21.2,394.08,14.59,0.295286123,0.119419141,0.632239616,6.463654262,98.40045612,0.630708999,6.456216071,98.40662575,17.1
0.2498,0,21.89,0,0.624,5.857,98.2,1.6686,4,437,21.2,392.04,21.32,0.135053644,0.113608251,0.629286387,5.860485212,98.20805646,0.632072643,5.860056709,98.20138953,13.3
0.54452,0,21.89,0,0.624,6.151,97.9,1.6687,4,437,21.2,396.9,18.46,0.512375464,0.597030037,0.625423021,6.155322761,97.90594041,0.628672505,6.152791292,97.90675779,17.8
0.2909,0,21.89,0,0.624,6.174,93.6,1.6119,4,437,21.2,388.08,24.16,0.506295814,0.480297509,0.63288616,6.175493537,93.60699547,0.625571152,6.174269034,93.60511531,14
1.62864,0,21.89,0,0.624,5.019,100,1.4394,4,437,21.2,396.9,34.41,0.388919097,0.791611074,0.627378365,5.028741148,100.0098436,0.624068637,5.022551645,100.009051,14.4
3.32105,0,19.58,1,0.871,5.403,100,1.3216,5,403,14.7,396.9,26.82,0.602189013,0.74659548,0.876960282,5.412944402,100.0073118,0.873746858,5.405530305,100.0062884,13.4
4.0974,0,19.58,0,0.871,5.468,100,1.4118,5,403,14.7,396.9,26.42,0.777764648,0.186482968,0.874669111,5.474903506,100.0080248,0.875659928,5.4737536,100.005812,15.6
2.77974,0,19.58,0,0.871,4.903,97.8,1.3459,5,403,14.7,396.9,29.29,0.639545174,0.097833348,0.871681651,4.91217859,97.80205965,0.876014075,4.905263601,97.80019148,11.8
2.37934,0,19.58,0,0.871,6.13,100,1.4191,5,403,14.7,172.91,27.8,0.997532137,0.537187927,0.879922347,6.132115899,100.0087003,0.875783427,6.132805622,100.0034118,13.8
2.15505,0,19.58,0,0.871,5.628,100,1.5166,5,403,14.7,169.27,16.65,0.392190401,0.558283349,0.873212714,5.635874261,100.001194,0.873264248,5.633080123,100.0058423,15.6
2.36862,0,19.58,0,0.871,4.926,95.7,1.4608,5,403,14.7,391.71,29.53,0.821739461,0.749883412,0.878705201,4.930810753,95.70461852,0.875560056,4.926171543,95.70187099,14.6
2.33099,0,19.58,0,0.871,5.186,93.8,1.5296,5,403,14.7,356.99,28.32,0.251683528,0.927683735,0.876124834,5.195212774,93.80393727,0.872734588,5.186989454,93.80706768,17.8
2.73397,0,19.58,0,0.871,5.597,94.9,1.5257,5,403,14.7,351.85,21.45,0.377154555,0.856689939,0.873678316,5.600989546,94.90188852,0.875392141,5.598968498,94.90336784,15.4
1.6566,0,19.58,0,0.871,6.122,97.3,1.618,5,403,14.7,372.8,14.1,0.362837374,0.241253661,0.879255942,6.129055259,97.3039056,0.876810384,6.129394076,97.30462046,21.5
1.49632,0,19.58,0,0.871,5.404,100,1.5916,5,403,14.7,341.6,13.28,0.789087061,0.283790524,0.876419241,5.406432696,100.0089025,0.87987624,5.408368001,100.0086417,19.6
